Year,Ticker,Company,Price,MarketCap,Rank
2021,PRX.JO,Prosus,60090.5078125,129855092597571.17,1.0
2021,BTI.JO,British American Tobacco,58427.71484375,126722889080572.28,2.0
2021,AGL.JO,Anglo American plc,63969.57421875,68272094983327.664,3.0
2021,NPN.JO,Naspers,49433.578125,37906348110019.31,4.0
2021,FSR.JO,FirstRand Limited,6064.8291015625,33913445894091.49,5.0
2021,MTN.JO,MTN Group,17051.89453125,30806273696174.59,6.0
2021,VOD.JO,Vodacom,13432.478515625,25952748308033.473,7.0
2021,CPI.JO,Capitec Bank Holdings,203791.53125,23600247015794.125,8.0
2021,SBK.JO,Standard Bank,13962.4306640625,22607039941694.805,9.0
2021,ANG.JO,AngloGold Ashanti plc,32856.9296875,16593235774746.875,10.0
2022,BHG.JO,BHP Group Limited,52585.0625,267038077161233.3,1.0
2022,BTI.JO,British American Tobacco,67245.671875,145848007935154.3,2.0
2022,PRX.JO,Prosus,54035.37109375,116769992006348.16,3.0
2022,AGL.JO,Anglo American plc,65138.2265625,69519349553791.92,4.0
2022,NPN.JO,Naspers,56481.05078125,43310447144245.45,5.0
2022,FSR.JO,FirstRand Limited,6200.87548828125,34674193096990.3,6.0
2022,SBK.JO,Standard Bank,16743.171875,27109431332972.08,7.0
2022,VOD.JO,Vodacom,12250.21875,23668516839039.188,8.0
2022,MTN.JO,MTN Group,12717.7294921875,22976089537279.086,9.0
2022,CPI.JO,Capitec Bank Holdings,185733.765625,21509052515761.062,10.0
2023,BHG.JO,BHP Group Limited,63270.80078125,321302517821985.25,1.0
2023,PRX.JO,Prosus,56038.83203125,121099454595788.31,2.0
2023,BTI.JO,British American Tobacco,54067.1640625,117265363752732.84,3.0
2023,AGL.JO,Anglo American plc,46518.12109375,49646876980893.82,4.0
2023,NPN.JO,Naspers,62555.23046875,47968211733629.67,5.0
2023,FSR.JO,FirstRand Limited,7342.26123046875,41056619207231.51,6.0
2023,SBK.JO,Standard Bank,20781.220703125,33647571671165.5,7.0
2023,GFI.JO,Gold Fields Limited,27762.0,24847663145214.0,8.0
2023,CPI.JO,Capitec Bank Holdings,202554.671875,23457011491752.688,9.0
2023,MTN.JO,MTN Group,11541.8330078125,20851692810004.1,10.0
2024,BHG.JO,BHP Group Limited,46010.28515625,233649966238321.7,1.0
2024,PRX.JO,Prosus,74904.875,161868818108259.25,2.0
2024,BTI.JO,British American Tobacco,67612.3671875,146643327237587.62,3.0
2024,NPN.JO,Naspers,83460.375,63998564298601.5,4.0
2024,AGL.JO,Anglo American plc,54236.9375,57884852194615.125,5.0
2024,FSR.JO,FirstRand Limited,7591.42236328125,42449883956335.53,6.0
2024,CPI.JO,Capitec Bank Holdings,313374.0625,36290542781536.25,7.0
2024,SBK.JO,Standard Bank,22161.11328125,35881802041183.58,8.0
2024,GFI.JO,Gold Fields Limited,24702.58984375,22109416873852.19,9.0
2024,ANG.JO,AngloGold Ashanti plc,42098.80078125,21260517456782.812,10.0
2025,BHG.JO,BHP Group Limited,50702.7734375,257479414909731.38,1.0
2025,PRX.JO,Prosus,102352.0,221181829233632.0,2.0
2025,BTI.JO,British American Tobacco,94122.0,204139624456278.0,3.0
2025,NPN.JO,Naspers,110451.0,84695347047564.0,4.0
2025,AGL.JO,Anglo American plc,68510.0,73117904635620.0,5.0
2025,ANG.JO,AngloGold Ashanti plc,143315.0,72376196062000.0,6.0
2025,GFI.JO,Gold Fields Limited,72571.0,64952804629037.0,7.0
2025,FSR.JO,FirstRand Limited,9075.0,50745786292575.0,8.0
2025,CPI.JO,Capitec Bank Holdings,415580.0,48126586000240.0,9.0
2025,SBK.JO,Standard Bank,29040.0,47019638321040.0,10.0
2026,BHG.JO,BHP Group Limited,61337.0,311482268160061.0,1.0
2026,BTI.JO,British American Tobacco,96551.0,209407841746649.0,2.0
2026,PRX.JO,Prosus,82499.0,178279659703234.0,3.0
2026,ANG.JO,AngloGold Ashanti plc,179102.0,90449160709600.0,4.0
2026,AGL.JO,Anglo American plc,75003.0,80047616426586.0,5.0
2026,GFI.JO,Gold Fields Limited,82737.0,74051621124039.0,6.0
2026,NPN.JO,Naspers,90011.0,69021673711404.0,7.0
2026,CPI.JO,Capitec Bank Holdings,445523.0,51594159908044.0,8.0
2026,FSR.JO,FirstRand Limited,9158.0,51209907533598.0,9.0
2026,SBK.JO,Standard Bank,30692.0,49694446947292.0,10.0
